Date,changeClose,changeHC,changeLC,nextchange
1970-01-10,-0.006472497991776631,0.013351333174864196,-0.012769357655810753,-0.016147016316321924
1970-01-17,-0.016147016316321924,0.0029177806782483876,-0.022325296807011424,-0.017194892719150236
1970-01-24,-0.017194892719150236,-0.0013206596282429298,-0.025396762731918834,-0.04989860267940991
1970-01-31,-0.04989860267940991,-0.0015677425928160645,-0.0569807674614757,0.01529070001078033
1970-02-07,0.01529070001078033,0.03057925332035261,-0.004479522547755938,0.0024295619186000903
1970-02-14,0.0024295619186000903,0.017453613806588813,-0.012002693182982634,0.01707090622993783
1970-02-21,0.01707090622993783,0.025103976501870552,-0.011271994512401805,0.016560973674894057
1970-02-28,0.016560973674894057,0.025791999826562533,-0.010505956768438754,-0.0006705885774395565
1970-03-07,-0.0006705885774395565,0.01717021441019044,-0.007401667475986107,-0.017823391208871657
1970-03-14,-0.017823391208871657,0.001564064516224414,-0.024332117467770135,-0.009147137413148324
1970-03-21,-0.009147137413148324,0.004768922066407567,-0.017220032780365796,0.032322857700877956
1970-03-28,0.032322857700877956,0.045030930147374845,-0.010043318096178262,-0.005911553510429333
1970-04-04,-0.005911553510429333,0.008636957692138958,-0.012421137002033561,-0.012948461535872893
1970-04-11,-0.012948461535872893,0.0024581154355286143,-0.017719550613241965,-0.029557666133321173
1970-04-18,-0.029557666133321173,0.004861242005773014,-0.04035460447536631,-0.03443704826267212
1970-04-25,-0.03443704826267212,0.010104060773372923,-0.04427137240232243,-0.016199053559745834
1970-05-02,-0.016199053559745834,0.0055422637512866375,-0.04270144302778708,-0.02486453231056304
1970-05-09,-0.02486453231056304,-0.0019666139685082526,-0.042901421728254924,-0.032496154115647144
1970-05-16,-0.032496154115647144,0.0035184601873524094,-0.07053165050392018,-0.06237356936143507
1970-05-23,-0.06237356936143507,0.01009193155772023,-0.08067141259341473,0.057811834977353045
1970-05-30,0.057811834977353045,0.06263356992337399,-0.05169402139378579,-0.004976501624251436
1970-06-06,-0.004976501624251436,0.03680604067787574,-0.0171282583409095,-0.030525542190863883
1970-06-13,-0.030525542190863883,0.04855883783673935,-0.039089412448466476,0.04201248321884395
1970-06-20,0.04201248321884395,0.05490756790669703,-0.0028464823148787446,-0.04757742512644983
1970-06-27,-0.04757742512644983,0.0049197049663208215,-0.05276309298543378,-0.0075142515471706296
1970-07-04,-0.0075142515471706296,0.006106226315493582,-0.01868443685433154,0.020764793439311674
1970-07-11,0.020764793439311674,0.030921263965361965,-0.031058769980342616,0.04259886224798862
1970-07-18,0.04259886224798862,0.04952553046875146,-0.009040042515961586,0.0016718832475446017
1970-07-25,0.0016718832475446017,0.01317068786359415,-0.019102668926066643,0.002951222426628543
1970-08-01,0.002951222426628543,0.01542904813596339,-0.011112669173542112,-0.009914511953061802
1970-08-08,-0.009914511953061802,0.0024313123615260154,-0.025038607551262953,-0.027549931913114487
1970-08-15,-0.027549931913114487,0.0015516262014645254,-0.04161490249067082,0.052595952676058495
1970-08-22,0.052595952676058495,0.05712883148570396,-0.008817741509331485,0.03252928364893997
1970-08-29,0.03252928364893997,0.039953410775689466,0.0021431561522361345,0.011779858196051537
1970-09-05,0.011779858196051537,0.01887758829867212,-0.023609077411165382,-0.0037496891935421316
1970-09-12,-0.0037496891935421316,0.011403964232198192,-0.01643270415826635,0.001211167689359154
1970-09-19,0.001211167689359154,0.011805984334001797,-0.02341792865563779,0.0025385215041830844
1970-09-26,0.0025385215041830844,0.011791686626348588,-0.022027359337832824,0.027741546311621273
1970-10-03,0.027741546311621273,0.032427518963419596,-0.0026595907535865637,-0.0009398711743707365
1970-10-10,-0.0009398711743707365,0.029959979318003926,-0.0073070770598107895,-0.009447437401512642
1970-10-17,-0.009447437401512642,0.0023479342498727383,-0.02186403599167591,-0.006069666359589864
1970-10-24,-0.006069666359589864,0.00520714124974019,-0.019892759239920687,-0.00622677923194464
1970-10-31,-0.00622677923194464,0.005832373811214269,-0.01782530334925554,0.0115843083674475
1970-11-07,0.0115843083674475,0.02385730753199354,-0.007112275473684872,-0.010143871860990325
1970-11-14,-0.010143871860990325,0.023701645161924703,-0.015556171742605908,0.004189346791571288
1970-11-21,0.004189346791571288,0.009549976102230464,-0.013768325560497967,0.026055102717996485
1970-11-28,0.026055102717996485,0.02930825744351706,-0.002990611671482929,0.04025857289419442
1970-12-05,0.04025857289419442,0.04505367891874701,-0.0016305546199785479,0.008902830295603785
1970-12-12,0.008902830295603785,0.01629839532321074,-0.011015012056721398,-0.00044327255583252566
1970-12-19,-0.00044327255583252566,0.0060749667505873624,-0.016645700802230986,0.004313443459454135
1970-12-26,0.004313443459454135,0.00948711578880132,-0.009689920982654766,0.016853111704476717
1971-01-02,0.016853111704476717,0.025927348547417274,-0.0036486505419648877,0.0004339906183604679
1971-01-09,0.0004339906183604679,0.011973613611881458,-0.016522090688522985,0.009070317366024844
1971-01-16,0.009070317366024844,0.018804615295008986,-0.01310210440187621,0.019690897642599105
1971-01-23,0.019690897642599105,0.026518312844839468,-0.004308975044031199,0.010484474618686991
1971-01-30,0.010484474618686991,0.016826447591435444,-0.009743756254546033,0.010891690732784653
1971-02-06,0.010891690732784653,0.01757519223219647,-0.005228496846273314,0.015356567088623959
1971-02-13,0.015356567088623959,0.0207266471798128,-0.008287658146745383,-0.017318693428901702
1971-02-20,-0.017318693428901702,0.011716082430134498,-0.022396665573660934,0.00010338659723831534
1971-02-27,0.00010338659723831534,0.009976953273756152,-0.018992533035594707,0.022585386922852377
