Coefficient,MAE,ExpVar
1.6815211110877812,5.187374392603216,0.9322690723095813
1.3231964490187256,5.187374392603216,0.9322690723095813
0.3583246620690467,5.187374392603216,0.9322690723095813
0.23325108705143702,5.187374392603216,0.9322690723095813
1.8631212805997734,5.187374392603216,0.9322690723095813
0.30696876017228064,5.187374392603216,0.9322690723095813
0.084065976594726,5.187374392603216,0.9322690723095813
0.4108139423036986,5.187374392603216,0.9322690723095813
0.6032756593063202,5.187374392603216,0.9322690723095813
1.460822129335632,5.187374392603216,0.9322690723095813
1.3582006398744675,5.187374392603216,0.9322690723095813
0.3619196263088951,5.187374392603216,0.9322690723095813
1.2153407993725525,5.187374392603216,0.9322690723095813
0.6935315309685743,5.187374392603216,0.9322690723095813
1.5655364131085923,5.187374392603216,0.9322690723095813
0.17043534789895928,5.187374392603216,0.9322690723095813
0.28894091267177446,5.187374392603216,0.9322690723095813
0.44231573314592276,5.187374392603216,0.9322690723095813
0.24755633696133378,5.187374392603216,0.9322690723095813
0.9575020862190086,5.187374392603216,0.9322690723095813
0.31975569929822756,5.187374392603216,0.9322690723095813
1.4023643176867497,5.187374392603216,0.9322690723095813
18.83349020177975,5.187374392603216,0.9322690723095813
0.29641150763307067,5.187374392603216,0.9322690723095813
0.5532308645194953,5.187374392603216,0.9322690723095813
