,Stock_Returns,Bond_Returns
1978-01-04,-0.003197644987568249,0.000899484507767077
1978-01-05,-0.008340449179803366,-0.0004704130362214767
1978-01-06,-0.012076721403775692,-0.0011535824879649677
1978-01-09,-0.01069639082683993,-0.010222243528334635
1978-01-10,-0.005185362134466187,-0.000459462952089586
1978-01-11,-0.00476877358220773,-0.00045888862138589984
1978-01-12,0.000891484655216157,0.0008989150068842175
1978-01-13,-0.0014473085488716508,0.0029401997109210543
1978-01-16,-0.0028988976380096565,0.0006558904109589041
1978-01-17,0.005031834358790066,0.00021863013698630136
1978-01-18,0.007565646706224394,0.00021863013698630136
1978-01-19,-0.0051899429480332104,0.0008990499075543983
1978-01-20,-0.0022199684356971616,0.00021835616438356162
1978-01-23,-0.007231077208726289,0.0006550684931506849
1978-01-24,0.00011208131409579103,-0.0011412783752708135
1978-01-25,0.0015686206123073365,-0.00046061220765934426
1978-01-26,-0.009061389015822652,0.0015794149239537888
1978-01-27,0.0,0.0008990499075543983
1978-01-30,0.008579752665680118,0.0013357898121969694
1978-01-31,-0.0010073465589840458,0.0015807322178036933
1978-02-01,0.007619051038384006,-0.0011439083915174488
1978-02-02,0.0022239180202769937,0.0002180821917808219
1978-02-03,-0.00565843251278475,-0.00046233757878705306
1978-02-06,-0.0013390174392358123,-0.0007045660465036903
1978-02-07,0.009273763475471375,0.00021890410958904112
1978-02-08,0.005535259491471711,-0.00046061220765934426
1978-02-09,-0.00583506295951286,-0.00046003748079488725
1978-02-10,-0.0024363368025250853,-0.000459462952089586
1978-02-14,-0.01154530300163481,-0.0011551394682773656
1978-02-15,-0.0023584802595845167,-0.0018107995231661565
1978-02-16,-0.008443093375438915,-0.0011316654827863036
1978-02-17,-0.0013624289746519969,0.0008987344576138518
1978-02-21,-0.00420648874980889,0.00021005766956575227
1978-02-22,-0.0003424909299133416,0.00022191780821917805
1978-02-23,0.0009136801425919661,0.0015761494538001947
1978-02-24,0.009698750342774343,0.002934627817117963
1978-02-27,-0.008701510471859408,0.002018651931576432
1978-02-28,-0.00775194135559687,-0.001136902949654872
1978-03-01,0.001723363100885944,-0.0004577405533528773
1978-03-02,0.0014909651310690553,0.0008988624337315456
1978-03-03,0.001488745463493979,0.0002202739726027397
1978-03-06,-0.006289256049817782,-1.719260814739786e-05
1978-03-07,0.005293430108118891,0.0015777772427717997
1978-03-08,0.005494456549742566,0.00021999999999999998
1978-03-09,0.0005692515237076812,0.0008989150068842175
1978-03-10,0.011264055872620027,0.0015787586618940309
1978-03-13,0.0007875753486425996,0.0013373515164025855
1978-03-14,0.004496925684119635,0.00021890410958904112
1978-03-15,-0.0025740988412626953,-0.00046061220765934426
1978-03-16,0.004376115099069544,0.00021917808219178083
1978-03-17,0.0077085777627574625,0.00021917808219178083
1978-03-20,0.006873644873156559,0.002698793558279189
1978-03-21,-0.011341100889208366,0.00021835616438356162
1978-03-22,-0.0035638678200401452,-0.0004617622564973314
1978-03-23,-0.001229469194710453,-0.001819016551973703
1978-03-27,-0.00548341383642259,-0.006557315190702869
1978-03-28,0.007088975289158528,0.00022246575342465752
1978-03-29,0.0015642389904853005,0.0008986846465750507
1978-03-30,-0.002565771185911281,-0.0004537285291672797
1978-03-31,-0.0022369373609754106,-0.0018026114619980084
1978-04-03,-0.00840712933187937,0.0020211068602188193
1978-04-04,0.004521835066908952,0.0008986600360167058
1978-04-05,0.008777839004493693,-0.001128181712189761
1978-04-06,0.0016733771407881903,-0.001126442181580378
1978-04-07,0.00423206648338792,0.001574209109450035
1978-04-10,0.0035488488557431364,-5.9846425838110335e-06
1978-04-11,-0.0026522032206348634,-0.0004514402688724918
1978-04-12,-0.0015512397744978923,0.00022356164383561646
1978-04-13,0.009654896689481163,0.0008985873823098385
1978-04-14,0.021323309962967496,0.002251048601200358
1978-04-17,0.016465764199812716,0.003375860551436006
1978-04-18,-0.010799329550273629,0.00022136986301369863
1978-04-19,0.004602379361781539,-0.0031567397532873296
1978-04-20,0.007244835933879035,-0.00045258400677970095
