 Date,Close
1980-08-21,763.56
1980-08-22,757.95
1980-08-25,752.34
1980-08-26,765.11
1980-08-27,760.32
1980-08-28,759.42
1980-08-29,767.3
1980-09-01,767.3
1980-09-02,774.28
1980-09-03,776.22
1980-09-04,776.63
1980-09-05,776.55
1980-09-08,789.95
1980-09-09,788.47
1980-09-10,789.97
1980-09-11,796.8
1980-09-12,793.88
1980-09-15,800.82
1980-09-16,807.44
1980-09-17,808.87
1980-09-18,814.16
1980-09-19,822.38
1980-09-22,822.26
1980-09-23,816.57
1980-09-24,817.65
1980-09-25,819.56
1980-09-26,801.92
1980-09-29,798.51
1980-09-30,810.18
1980-10-01,815.81
1980-10-02,802.9
1980-10-03,808.5
1980-10-06,823.18
1980-10-07,822.23
1980-10-08,825.49
1980-10-09,836.94
1980-10-10,838.05
1980-10-13,847.54
1980-10-14,843.2
1980-10-15,838.24
1980-10-16,839.6
1980-10-17,841.08
1980-10-20,845.58
1980-10-21,846.68
1980-10-22,853.52
1980-10-23,846.98
1980-10-24,846.81
1980-10-27,835.59
1980-10-28,842.78
1980-10-29,841.41
1980-10-30,842.58
1980-10-31,835.6
1980-11-03,848.46
1980-11-04,848.46
1980-11-05,851.1
1980-11-06,836.77
1980-11-07,833.45
1980-11-10,815.82
1980-11-11,813.02
1980-11-12,822.39
1980-11-13,811.98
1980-11-14,818.88
1980-11-17,821.52
1980-11-18,831.89
1980-11-19,832.89
1980-11-20,844.28
1980-11-21,837.62
1980-11-24,816.77
1980-11-25,818.87
1980-11-26,819.96
1980-11-27,819.96
1980-11-28,824.0
1980-12-01,802.59
1980-12-02,806.59
1980-12-03,801.12
1980-12-04,793.03
1980-12-05,784.51
1980-12-08,774.19
1980-12-09,759.57
1980-12-10,751.85
1980-12-11,722.83
1980-12-12,735.38
1980-12-15,759.85
1980-12-16,759.38
1980-12-17,765.34
1980-12-18,762.84
1980-12-19,770.94
1980-12-22,773.09
1980-12-23,773.86
1980-12-24,764.72
1980-12-25,764.72
1980-12-26,764.72
1980-12-29,756.51
1980-12-30,748.31
1980-12-31,762.66
1981-01-01,762.66
1981-01-02,764.66
1981-01-05,775.46
1981-01-06,780.5
1981-01-07,773.26
1981-01-08,761.4
1981-01-09,756.16
1981-01-12,753.41
1981-01-13,755.95
1981-01-14,759.52
1981-01-15,750.45
1981-01-16,746.13
1981-01-19,740.3
1981-01-20,743.66
1981-01-21,738.92
1981-01-22,731.4
1981-01-23,728.61
1981-01-26,729.13
1981-01-27,722.14
1981-01-28,719.89
1981-01-29,709.26
1981-01-30,714.2
1981-02-02,704.36
1981-02-03,716.96
1981-02-04,709.79
1981-02-05,715.91
1981-02-06,731.92
1981-02-09,724.19
1981-02-10,722.46
1981-02-11,722.75
1981-02-12,714.86
1981-02-13,717.13
1981-02-16,717.13
1981-02-17,717.74
1981-02-18,715.02
1981-02-19,724.62
1981-02-20,716.23
1981-02-23,713.42
1981-02-24,713.03
1981-02-25,705.13
1981-02-26,700.12
1981-02-27,693.47
1981-03-02,675.38
1981-03-03,683.83
1981-03-04,669.36
1981-03-05,671.49
1981-03-06,678.02
1981-03-09,678.79
1981-03-10,671.83
1981-03-11,661.01
1981-03-12,671.06
1981-03-13,666.62
1981-03-16,662.57
1981-03-17,675.67
1981-03-18,669.33
1981-03-19,669.39
1981-03-20,665.72
1981-03-23,677.08
1981-03-24,687.98
1981-03-25,684.29
1981-03-26,689.28
1981-03-27,686.43
1981-03-30,682.29
1981-03-31,692.3
1981-04-01,688.17
1981-04-02,688.37
1981-04-03,684.34
1981-04-06,689.51
1981-04-07,693.91
1981-04-08,694.3
1981-04-09,695.3
1981-04-10,690.33
1981-04-13,686.74
1981-04-14,685.38
1981-04-15,680.63
1981-04-16,684.99
1981-04-17,684.99
1981-04-20,688.1
1981-04-21,696.38
1981-04-22,691.79
1981-04-23,692.44
1981-04-24,691.63
1981-04-27,694.54
1981-04-28,686.89
1981-04-29,684.36
1981-04-30,682.85
1981-05-01,683.75
1981-05-04,669.43
1981-05-05,666.66
1981-05-06,669.63
1981-05-07,671.82
1981-05-08,677.02
1981-05-11,667.96
1981-05-12,656.35
1981-05-13,657.0
1981-05-14,659.31
1981-05-15,652.36
1981-05-18,659.69
1981-05-19,659.59
1981-05-20,664.39
1981-05-21,660.69
1981-05-22,665.12
1981-05-25,665.12
1981-05-26,672.48
1981-05-27,677.71
1981-05-28,680.46
1981-05-29,686.55
1981-06-01,681.8
1981-06-02,681.05
1981-06-03,667.67
1981-06-04,670.36
1981-06-05,677.64
1981-06-08,681.52
1981-06-09,678.92
1981-06-10,685.16
1981-06-11,678.11
1981-06-12,680.21
1981-06-15,680.53
1981-06-16,675.15
1981-06-17,675.79
1981-06-18,680.89
1981-06-19,677.45
1981-06-22,672.32
1981-06-23,671.49
1981-06-24,666.43
1981-06-25,662.11
1981-06-26,654.58
1981-06-29,646.75
1981-06-30,642.93
1981-07-01,648.57
1981-07-02,649.34
1981-07-03,649.34
1981-07-06,661.63
1981-07-07,659.78
1981-07-08,656.1
