,3M_Rate,10Y_2Y_Curve,5y5y_Forward,Core_PCE,NFP,Hstarts,IP,ISM,Mich_Sent,Mich_Inf,CPI,5y5y.3m,lunemp,3M_Rate_36mZ,10Y_2Y_Curve_36mZ,5y5y_Forward_36mZ,Core_PCE_36mZ,NFP_36mZ,Hstarts_36mZ,IP_36mZ,ISM_36mZ,Mich_Sent_36mZ,Mich_Inf_36mZ,CPI_36mZ,5y5y.3m_36mZ,lunemp_36mZ
1981-01-01,2.923102307820909,-1.7508737363750868,1.88016546932523,3.3168641065674973,-0.21263093610451902,0.4358010937595382,-1.0978570681828814,-0.49065677969190036,-1.1803618676956953,3.543032762104948,1.292243316342269,-3.0580018178777717,0.8742645161256106,2.0154916675746204,-0.5068132060435506,1.796026912444082,1.251023075236917,-0.39416537244348404,-0.36747793762206826,-0.7841747352639042,-0.3136106875004277,0.2083283453619727,0.6334321880362428,-0.8647082990828937,-1.6701677337137877,1.5740149964114352
1981-02-01,2.859564724166894,-1.7838530376388246,2.0790756579355216,2.612643196054001,-0.29960845916814577,-0.32208534086572416,-0.9290257071970249,-0.5596195069528239,-1.5364526430561118,3.0061161714026716,1.2775055330820833,-2.5245660912621575,0.8224353877109185,1.7941449435665,-0.5111908933259506,2.05222432356018,0.3816463806466594,-0.4418614724951341,-1.214862086161494,-0.636699870740088,-0.338167756887143,-0.26994400120359263,-0.10936328531216069,-0.8966600368214633,-1.0951222540593746,1.3657039562729967
1981-03-01,2.4645267040571506,-1.4913423250640796,2.029175188363639,1.6676789035123318,-0.14014966688483005,-0.17101163296700075,0.5505116450602365,-0.4216940524309781,-1.5681051564214827,2.170912585865798,1.262939318893725,-1.7136360220131752,0.8224353877109185,1.1908875686292055,-0.08144885903429955,1.8092381294544428,-0.7785491035073386,-0.2524381223989863,-0.9806732355817519,0.4455216404974291,-0.22589907101285409,-0.28231824323312427,-1.296860153874061,-0.9002459794959322,-0.28192276371153624,1.292546486068891
1981-04-01,2.555689324082476,-1.5119873987237629,2.206713577558987,2.125610891282286,-0.29477637455349986,-0.035045295858149715,-0.90746009291283,-0.07688041612636547,-1.1012305842822694,2.648171777601154,1.7432440470741175,-1.5774455154344391,0.7166421372733554,1.2510791414956388,-0.07508904207389423,2.0036402190716474,-0.21551335467563826,-0.35189723000245565,-0.7753291992729822,-0.5692934246483766,0.03190607911469463,0.49518867174662023,-0.6872029270199914,-0.5073969841824583,-0.11105849759531042,0.991571185968198
1981-05-01,3.2767027733736867,-2.4653540649191483,2.273855471044616,2.3697651476466186,-0.5847014514322558,-0.5889822248201355,0.6492346086148664,0.2506925383630163,-0.792618578969909,2.230569984832717,2.705354828062829,-3.1041482418468966,0.8742645161256106,2.083755288725305,-1.3361001564063908,1.9674798247956278,0.06603133783842183,-0.6159316503402615,-1.3783004320901169,0.6223566113940275,0.28580876454110116,1.053239036503841,-1.3188510899660526,0.2308221208218626,-1.5465375074112586,1.2782900364547136
1981-06-01,2.842989702344108,-2.1167063057396773,2.0838680792706437,1.3852558638603396,0.2899058638186579,-0.8281822623264475,0.4643188071823759,-0.2320465524634409,-1.045838685892872,2.111255186898878,2.6695432117298212,-2.4771303385165764,0.8742645161256106,1.4196363462239392,-0.8014906780361242,1.5052991226758836,-1.123929177882245,0.3610257786172489,-1.578744231142334,0.4892045600440665,-0.021661563033563792,0.674031392914962,-1.5486187983035986,0.18910161528455907,-0.8723410361924547,1.2060431877819247
1981-07-01,2.9037647823609913,-2.1592780321236975,2.3383604740872372,1.9211410450538209,-0.11115715919695446,-0.8382538428530291,0.7403901660908229,-0.9216738250726662,-0.9667074024794462,1.9322829899981193,4.5640524916952705,-2.121217865076615,0.7166421372733554,1.4221958779467634,-0.813718342772988,1.839504646898732,-0.4743688804866391,-0.05962770827089572,-1.5113825620014478,0.6754650172293847,-0.4755311901952604,0.8810768751863229,-1.8405509130199804,1.591622798035572,-0.47142601709007415,0.8096970985621226
1981-08-01,3.0584649860403315,-2.454716958682528,2.514007303757085,2.2936333371156246,-0.8214735975499065,-1.0925612511492133,-0.26227179637936243,-0.645822916028977,-0.7214004238978252,1.3357090003289234,3.058777695627889,-2.134770937289641,0.8224353877109185,1.5430041352365975,-1.1627062492908602,1.9937800091200886,-0.04397504997722562,-0.8004454970324968,-1.7126596183865215,-0.08145967805700602,-0.23514559157722653,1.3369533965279892,-2.4370365035081605,0.39642389960852215,-0.44632007184724243,0.9897937532333642
1981-09-01,2.834702191432714,-2.224545358670845,2.646769373438427,2.1991519893791502,-1.072741997511495,-1.1655802099669297,-1.133096675084207,-1.645782461312353,-1.045838685892872,1.9919403889650393,3.958768802891969,-1.3618334558670189,0.9254071458111802,1.1751340638167969,-0.7963126453011756,2.0544157927541753,-0.1763859883198826,-1.0297293501742653,-1.6914833362171389,-0.718715144824069,-0.9362951092315418,0.8082374294802145,-1.5283110276237608,1.0524078336214866,0.38231217374974075,1.1518221009588674
1981-10-01,2.5142517695255098,-1.4289410753342469,2.7028244695261057,1.883890075548986,-1.1162307590433083,-1.2612602249694544,-1.2517258382658762,-2.076799506693119,-1.2674062794504646,1.8726255910312,0.1718365762477348,-0.5160172839033743,1.0748920883706938,0.6941347890881885,0.3240944862790075,1.984470793884514,-0.5412293440348434,-1.020013642816915,-1.7008723845396676,-0.7644713668962534,-1.2003193107338106,0.44591244207080083,-1.641064869935829,-1.7380193057071882,1.2518783859276896,1.3960566853482177
